city_a,city_b,rule_distance_gower,text_dist_T,text_dist_I,text_dist_F,text_dist_BERT,discordant_T,discordant_I,discordant_F,discordant_BERT,Dep_reg_gap,rule_distance_components,scope
上海,东方,0.7884615384615384,0.5333333333333332,0.5999999999999996,0.693521098287539,1.8034446948236633,False,True,False,False,2036.721012409248,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,东莞,1.0,3.033333333333334,5.633333333333334,4.925137600735779,0.4005210136464967,False,False,False,True,1995.4314589646456,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,东营,1.0,2.1000000000000005,2.8999999999999995,8.722194375391823,1.187570949659249,False,False,False,False,1877.6468319760095,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,中卫,0.8461538461538461,2.7,2.966666666666666,2.7417422538065623,1.0023465462273844,False,False,False,True,2271.9219495681973,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,中山,0.8269230769230769,1.8000000000000007,4.299999999999999,3.8117159252778516,1.3112299312686133,False,False,False,False,2213.8634958054768,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,临高,0.75,0.0,0.6666666666666661,1.770720275302438,8.046932499290568,True,True,False,False,2219.171164939433,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,丽水,0.6666666666666666,0.3999999999999999,0.3333333333333339,0.07734360331767709,1.8787347465218094,False,False,False,False,2269.2082541351,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,义乌,0.8653846153846154,0.2999999999999998,0.6166666666666663,0.13277425503764406,2.9429916990002187,True,True,True,False,4985.787415999845,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,乐东,0.8076923076923077,0.8666666666666663,1.2000000000000002,0.029548695435652084,0.33332871558876853,False,False,True,True,2251.3945528189324,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,乐山,0.8076923076923077,1.4666666666666668,1.666666666666666,2.564445500749731,0.7042445322406152,False,False,False,True,2257.951433396464,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,九江,0.6666666666666666,0.733333333333333,3.2666666666666666,5.145581096773288,1.309961871404603,False,False,False,False,2302.973933396464,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,五指山,0.6666666666666666,0.6666666666666661,0.666666666666667,0.249889031052277,0.7043443833388352,False,False,False,False,2029.5735672032822,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,佛山,0.6666666666666666,1.4000000000000004,3.166666666666667,0.6391635321549041,2.691182974397516,False,False,False,False,2274.5911885101004,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,信阳,0.5,0.20000000000000018,0.7333333333333334,0.12824023415463803,0.7949462257031037,False,False,False,False,2058.3703839646455,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,儋州,0.7884615384615384,0.20000000000000018,0.33333333333333304,1.2191536213364111,5.199677301497478,True,True,False,False,1763.2386796371748,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,六安,0.0,0.3999999999999999,0.9333333333333327,0.6813499945631871,4.887622847112423,False,False,False,False,2294.334888368055,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,兰州,1.0,1.7999999999999998,2.8,2.988896581156586,4.907952246758244,False,False,False,False,2270.1177690972218,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,北京,0.8269230769230769,2.166666666666667,3.499999999999999,5.15301867982075,0.9466789618298899,False,False,False,True,2011.7590658538504,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,北海,1.0,0.3333333333333339,0.0,1.221902317285498,2.7329866085651267,True,True,False,False,1984.6494248737367,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,合肥,1.0,0.3333333333333339,0.583333333333333,2.420734054245186,1.538282842004616,True,True,False,False,2289.777683396464,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,定安,0.6666666666666666,0.0333333333333341,0.033333333333333215,0.3479722661827831,5.060286153129905,False,False,False,False,2029.573567203282,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,屯昌,1.0,0.6666666666666661,0.666666666666667,0.24478210646508014,0.7854205514527113,False,True,True,True,2029.573567203282,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,广州,0.6666666666666666,0.33333333333333304,0.3333333333333339,1.8516543271988732,1.3493805793066151,False,False,False,False,2138.7756135101004,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,惠州,0.8653846153846154,0.7333333333333338,2.4000000000000004,3.9904442933392317,2.1004999134471856,False,False,False,False,2049.3360885101,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,文昌,0.6666666666666666,1.033333333333334,1.3666666666666663,1.089887575406264,3.6661624278354674,False,False,False,False,2029.5735672032822,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,昌江,0.6666666666666666,0.7000000000000002,1.0333333333333332,1.089887575406264,3.6661624278354674,False,False,False,False,2034.2601079703277,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,汕头,1.0,0.766666666666667,1.833333333333333,1.398759764062778,0.07829268134258882,False,False,False,True,1786.342314078282,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,海口,0.8653846153846154,0.6833333333333331,0.683333333333334,0.05910435131177305,2.0539157207435528,False,False,True,False,1963.839657047032,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,深圳,0.0,1.316666666666667,1.650000000000001,4.223373074525876,0.9678216562217674,False,False,False,False,2143.265592487373,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,清远,1.0,1.6333333333333337,2.7,0.9034078933611891,0.29671180344448267,False,False,False,True,1927.253904987373,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,澄迈,1.0,0.7333333333333338,0.9333333333333327,1.6779941118431352,6.525676543420455,False,False,False,False,1655.1124490214638,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,珠海,0.7884615384615384,0.3333333333333339,0.8666666666666663,0.9369086081685061,1.3885186936767049,True,False,False,False,791.1878538510089,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,琼中,0.8461538461538461,1.0000000000000009,1.3999999999999995,0.45193904633958604,1.953067500709432,False,False,True,False,1196.526589646464,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,琼海,1.0,0.3999999999999999,0.7333333333333338,1.277805624608178,4.376446127176961,True,False,False,False,586.2563683417759,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,白沙,1.0,0.04999999999999982,0.38333333333333375,2.257965527878655,0.10230506316676369,True,True,False,True,2109.978796748737,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,肇庆,0.5576923076923077,1.0666666666666673,1.0666666666666664,1.3484929380706152,4.301578308141735,False,False,False,False,2279.936479987373,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,陵水,0.6666666666666666,0.36666666666666714,0.36666666666666625,1.03033443540658,2.112436367477488,False,False,False,False,1965.8253199021458,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上海,韶关,1.0,0.3500000000000001,0.4166666666666661,0.025987228864457146,0.7357153206588265,True,True,True,True,1755.0688481691914,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,东方,0.7884615384615384,0.9000000000000004,0.8333333333333348,0.6414630299586699,1.0125761083342333,False,False,True,True,151.43936973721588,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,东莞,1.0,2.666666666666667,4.199999999999999,4.87307953240691,3.2165418168043933,False,False,False,False,192.7289231818183,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,东营,1.0,1.7333333333333334,1.466666666666665,8.670136307062952,1.6284498534986476,False,False,False,False,310.51355017045444,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,中卫,0.8461538461538461,2.333333333333333,1.5333333333333314,2.6896841854776934,1.8136742569305122,False,False,False,False,83.76156742173322,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,中山,0.8269230769230769,1.4333333333333336,2.8666666666666645,3.7596578569489827,4.12725073442651,False,False,False,False,25.703113659012928,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,临高,0.75,0.36666666666666714,0.7666666666666684,1.7186622069735689,5.230911696132671,True,False,False,False,31.010782792968726,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,丽水,0.6666666666666666,0.766666666666667,1.7666666666666684,0.025285534988807923,4.694755549679706,False,False,False,False,81.04787198863636,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,义乌,0.8653846153846154,0.06666666666666732,0.8166666666666682,0.0807161867087749,0.12697089584232213,True,False,True,True,7173.947798146308,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,乐东,0.8076923076923077,1.2333333333333334,2.6333333333333346,0.022509372893217083,2.482692087569128,False,False,True,False,63.234170672468366,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,乐山,0.8076923076923077,1.0999999999999996,0.23333333333333162,2.512387432420862,3.520265335398512,False,True,False,False,69.79105125,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,九江,0.6666666666666666,0.3666666666666658,1.8333333333333321,5.0935230284444195,4.1259826745625,False,False,False,False,114.81355125,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,五指山,0.6666666666666666,1.0333333333333332,2.1000000000000014,0.19783096272340783,3.520365186496732,False,False,False,False,158.58681494318182,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,佛山,0.6666666666666666,1.0333333333333332,1.7333333333333325,0.5871054638260349,0.12483782876038063,False,False,False,False,86.43080636363636,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,信阳,0.5,0.16666666666666696,0.7000000000000011,0.07618216582576887,3.6109670288610003,False,False,False,False,129.7899981818183,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,儋州,0.7884615384615384,0.5666666666666673,1.1000000000000014,1.167095553007542,2.3836564983395814,False,False,False,False,424.9217025092891,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,六安,0.0,0.03333333333333277,0.5000000000000018,0.7334080628920563,2.071602043954526,False,False,False,False,106.1745062215909,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,兰州,1.0,1.4333333333333327,1.3666666666666654,2.936838512827717,2.0919314436003473,False,False,False,False,81.95738695075758,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,北京,0.8269230769230769,1.7999999999999998,2.0666666666666647,5.100960611491881,1.8693418413280067,False,False,False,False,176.40131629261361,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,北海,1.0,0.033333333333333215,1.4333333333333345,1.1698442489566288,0.08303419459276995,True,False,False,True,203.5109572727273,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,合肥,1.0,0.033333333333333215,0.8500000000000014,2.368675985916317,4.354303645162513,True,False,False,False,101.61730125,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,定安,0.6666666666666666,0.33333333333333304,1.4000000000000012,0.29591419785391393,2.244265349972008,False,False,False,False,158.58681494318193,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
上饶,屯昌,1.0,1.0333333333333332,2.1000000000000014,0.19272403813621097,3.601441354610608,False,False,True,False,158.58681494318193,basis_category;release_trigger_category;schedule_form_category;n_release_steps;final_retained_share,descriptive P1 measurement-validity evidence; not causal
