model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
B1,15,1,70,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2656574299635286,2473.695992316294,6119171.862401695
B1,15,2,71,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.8931052838029427,320.23779493498654,102552.24530482249
B1,15,3,72,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.1352499800297093,275.02311007744873,75637.71107667248
B1,15,4,73,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.004203607105049634,528.1207733196026,278911.55121169507
B1,15,5,74,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.0902101235375694,500.03629885953774,250036.30017714493
B1,16,1,75,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.016547096955611185,608.7383268464094,370562.3505717661
B1,16,2,76,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07548054557506223,2427.71967430783,5893822.817021316
B1,16,3,77,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.27746066237735745,364.3681771993116,132764.16855554894
B1,16,4,78,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.202971187168851,369.04696965361734,136195.66581051797
B1,16,5,79,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.06020970515994217,691.6168735474042,478333.89977548615
B1,17,1,80,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07457350456882761,476.21515057202333,226780.86963433484
