model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE,feature_set
M0,11,2,51,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.00873556969203304,718.469905105591,516199.004542437,IV1;IV2;year_1;Region_1
M0,11,3,52,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10305282545734062,251.664992839056,63335.26862068211,IV1;IV2;year_1;Region_1
M0,11,4,53,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.2839987425357803,402.00248417711566,161605.9972845721,IV1;IV2;year_1;Region_1
M0,11,5,54,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5316385300078288,585.9938991448419,343388.8498349751,IV1;IV2;year_1;Region_1
M0,12,1,55,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0851855106270536,2308.111137309479,5327377.022172056,IV1;IV2;year_1;Region_1
M0,12,2,56,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.053588804683180724,733.201862595856,537584.9713140326,IV1;IV2;year_1;Region_1
M0,12,3,57,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.003386908259867649,628.7545023693388,395332.2242497148,IV1;IV2;year_1;Region_1
M0,12,4,58,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.701732855406049,329.351219134002,108472.22554505341,IV1;IV2;year_1;Region_1
M0,12,5,59,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-9.420204515340032,376.9796907819406,142113.68726204755,IV1;IV2;year_1;Region_1
M0,13,1,60,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.05154657335815993,504.3098937135339,254328.46889735584,IV1;IV2;year_1;Region_1
M0,13,2,61,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3136717237686739,379.89833759624173,144322.74690838804,IV1;IV2;year_1;Region_1
M0,13,3,62,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.21947818531557872,2527.889801969895,6390226.850903396,IV1;IV2;year_1;Region_1
M0,13,4,63,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7203687625558881,211.25277118194884,44627.73333205284,IV1;IV2;year_1;Region_1
M0,13,5,64,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.08734498706029858,675.0235920389865,455656.84980921616,IV1;IV2;year_1;Region_1
M0,14,1,65,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.06332498794374719,705.6954538733742,498006.0736175475,IV1;IV2;year_1;Region_1
M0,14,2,66,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-6.4972585785238355,279.6347481064822,78195.59234857577,IV1;IV2;year_1;Region_1
M0,14,3,67,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.19996241662133096,185.32088742098742,34343.83131450229,IV1;IV2;year_1;Region_1
M0,14,4,68,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12921746079974517,647.2303768000403,418907.1606527221,IV1;IV2;year_1;Region_1
M0,14,5,69,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09826292731414998,2450.069698694183,6002841.528459405,IV1;IV2;year_1;Region_1
M0,15,1,70,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2911539422501339,2498.487907165093,6242441.822250206,IV1;IV2;year_1;Region_1
M0,15,2,71,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.0079801450915418,326.5336553937732,106624.22810481943,IV1;IV2;year_1;Region_1
M0,15,3,72,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.7185018992247034,362.9349813526461,131721.80068944558,IV1;IV2;year_1;Region_1
M0,15,4,73,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.16496196842174493,571.2205853328163,326292.9571079653,IV1;IV2;year_1;Region_1
M0,15,5,74,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09702198712965271,362.2548632686684,131228.5859618016,IV1;IV2;year_1;Region_1
M0,16,1,75,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09107270748424656,630.657754601246,397729.2034386854,IV1;IV2;year_1;Region_1
M0,16,2,76,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09856022416622534,2453.6306814161167,6020303.520786517,IV1;IV2;year_1;Region_1
M0,16,3,77,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12068932015242817,341.27878257522724,116471.20743602923,IV1;IV2;year_1;Region_1
M0,16,4,78,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7788383690586331,275.025758973999,75639.1680992242,IV1;IV2;year_1;Region_1
M0,16,5,79,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.01547772384429047,718.9278419478752,516857.2419278291,IV1;IV2;year_1;Region_1
M0,17,1,80,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.2764014891275096,390.7814826852179,152710.16720965726,IV1;IV2;year_1;Region_1
M0,17,2,81,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10796561775412838,863.0819523206409,744910.4564216089,IV1;IV2;year_1;Region_1
M0,17,3,82,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09754968600220737,2437.813276053969,5942933.568904984,IV1;IV2;year_1;Region_1
M0,17,4,83,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.4622874177082177,570.0999388387745,325013.9402639745,IV1;IV2;year_1;Region_1
M0,17,5,84,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7684535442134406,214.6419125131617,46071.15060730777,IV1;IV2;year_1;Region_1
M0,18,1,85,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1224320913287118,2369.768040475127,5615800.565657322,IV1;IV2;year_1;Region_1
M0,18,2,86,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0009284575370552828,724.1379803054509,524375.8145208576,IV1;IV2;year_1;Region_1
M0,18,3,87,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.3244395694305906,241.43488226748397,58290.80237551385,IV1;IV2;year_1;Region_1
M0,18,4,88,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.00426986208217639,416.69721748670923,173636.57106116586,IV1;IV2;year_1;Region_1
M0,18,5,89,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.06442083286606404,335.16275410873254,112334.07174175073,IV1;IV2;year_1;Region_1
M0,19,1,90,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.012801807045288438,606.3194419859361,367623.26573013695,IV1;IV2;year_1;Region_1
M0,19,2,91,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5040490931930635,255.35315424587887,65205.2333833196,IV1;IV2;year_1;Region_1
M0,19,3,92,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.46620090400267955,403.54710891611995,162850.26911455876,IV1;IV2;year_1;Region_1
M0,19,4,93,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.011266576473101697,702.5398574718917,493562.2513366258,IV1;IV2;year_1;Region_1
M0,19,5,94,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08780729596942694,2421.32430189931,5862811.3749681795,IV1;IV2;year_1;Region_1
M0,20,1,95,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0641626035079228,520.6635677876656,271090.55082138104,IV1;IV2;year_1;Region_1
M0,20,2,96,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1909425871029231,2534.738318198059,6424898.341741525,IV1;IV2;year_1;Region_1
M0,20,3,97,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.8124851861472235,256.95482710379724,66025.78317194234,IV1;IV2;year_1;Region_1
M0,20,4,98,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.009314776998426533,672.0550743097126,451658.0229054333,IV1;IV2;year_1;Region_1
M0,20,5,99,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.188720563157951,317.67779232740685,100919.17973801502,IV1;IV2;year_1;Region_1
M1,1,1,0,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.8170793206208664,314.455136067195,98882.03259903811,IV1;IV2;year_1;Region_1;PMC_T
M1,1,2,1,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5052040522818841,221.3989919549781,49017.51363868046,IV1;IV2;year_1;Region_1;PMC_T
M1,1,3,2,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.36859046416398633,874.1079898798944,764064.7779718696,IV1;IV2;year_1;Region_1;PMC_T
M1,1,4,3,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.32339775896687684,573.4190561921545,328809.41400430124,IV1;IV2;year_1;Region_1;PMC_T
M1,1,5,4,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.05632737900086138,2433.41958445331,5921530.874000921,IV1;IV2;year_1;Region_1;PMC_T
M1,2,1,5,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.14246242757410577,2373.861593262474,5635218.86396665,IV1;IV2;year_1;Region_1;PMC_T
M1,2,2,6,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.26239622440479904,591.7615355537465,350181.71496092796,IV1;IV2;year_1;Region_1;PMC_T
M1,2,3,7,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5464898534074605,375.73309346673426,141175.35752608164,IV1;IV2;year_1;Region_1;PMC_T
