model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
M0_full,17,3,82,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09754968600220737,2437.813276053969,5942933.568904984
M0_full,17,4,83,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.4622874177082177,570.0999388387745,325013.9402639745
M0_full,17,5,84,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7684535442134406,214.6419125131617,46071.15060730777
M0_full,18,1,85,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1224320913287118,2369.768040475127,5615800.565657322
M0_full,18,2,86,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0009284575370552828,724.1379803054509,524375.8145208576
M0_full,18,3,87,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.3244395694305906,241.43488226748397,58290.80237551385
M0_full,18,4,88,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.00426986208217639,416.69721748670923,173636.57106116586
M0_full,18,5,89,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.06442083286606404,335.16275410873254,112334.07174175073
M0_full,19,1,90,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.012801807045288438,606.3194419859361,367623.26573013695
M0_full,19,2,91,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5040490931930635,255.35315424587887,65205.2333833196
M0_full,19,3,92,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.46620090400267955,403.54710891611995,162850.26911455876
M0_full,19,4,93,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.011266576473101697,702.5398574718917,493562.2513366258
M0_full,19,5,94,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08780729596942694,2421.32430189931,5862811.3749681795
M0_full,20,1,95,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0641626035079228,520.6635677876656,271090.55082138104
M0_full,20,2,96,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1909425871029231,2534.738318198059,6424898.341741525
M0_full,20,3,97,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.8124851861472235,256.95482710379724,66025.78317194234
M0_full,20,4,98,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.009314776998426533,672.0550743097126,451658.0229054333
M0_full,20,5,99,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.188720563157951,317.67779232740685,100919.17973801502
M0_no_IV1,1,1,0,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.6417347927866921,240.05494455914956,57626.37640729637
M0_no_IV1,1,2,1,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.46707865457135567,218.5770946175152,47775.94629143419
M0_no_IV1,1,3,2,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5486269232727863,929.8261112012839,864576.5970717024
M0_no_IV1,1,4,3,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1686944390516647,538.8618191513362,290372.0601390874
M0_no_IV1,1,5,4,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.11013453718380117,2494.6265365068034,6223161.556643929
M0_no_IV1,2,1,5,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.17374110000570075,2406.138305208658,5789501.543792394
M0_no_IV1,2,2,6,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07412460033732304,545.8536526103226,297956.2100680307
M0_no_IV1,2,3,7,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2572792229746934,338.7831330474329,114774.0112374346
M0_no_IV1,2,4,8,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.149000304616425,771.2342721329156,594802.3025123882
M0_no_IV1,2,5,9,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.25217196590928803,224.22338817254436,50276.12780357551
M0_no_IV1,3,1,10,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1072600732880924,714.9434003596068,511144.06571775704
M0_no_IV1,3,2,11,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.012278291190962798,195.04827644626835,38043.83014465992
M0_no_IV1,3,3,12,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.25621295643051845,2593.9874237595636,6728770.754622777
M0_no_IV1,3,4,13,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.04186091212507792,342.8871789080014,117571.61745948775
M0_no_IV1,3,5,14,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.16560141946999363,121.92720752351516,14866.243934482332
M0_no_IV1,4,1,15,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.18381035599725726,721.5576854885068,520645.4934875309
M0_no_IV1,4,2,16,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1682265574609465,2516.2882183877946,6331706.397997222
M0_no_IV1,4,3,17,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1612051744239451,215.61081826484298,46488.02495283515
M0_no_IV1,4,4,18,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.4616693733465436,206.10487702767205,42479.22033459182
M0_no_IV1,4,5,19,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.25451251524725804,689.6392954820982,475602.3578730448
M0_no_IV1,5,1,20,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.4573759320600974,968.7558264710982,938487.8513217005
M0_no_IV1,5,2,21,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.02656111981597009,325.3699889267351,105865.62969418374
M0_no_IV1,5,3,22,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.2910822638471617,244.27383861677754,59669.708232575475
M0_no_IV1,5,4,23,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1274208692364347,192.95769179702222,37232.67082363462
M0_no_IV1,5,5,24,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1615402129311274,2508.115643933626,6290644.083344587
M0_no_IV1,6,1,25,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.42378378833299357,242.5513957055703,58831.17955872014
M0_no_IV1,6,2,26,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.050867128067419665,441.19579090874953,194653.72591559702
M0_no_IV1,6,3,27,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.19317189470586316,2514.2937704768333,6321673.164258611
M0_no_IV1,6,4,28,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.00029097185973347983,328.41617164234873,107857.18179621665
M0_no_IV1,6,5,29,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.28042465417554907,918.5564990714038,843746.0419863139
M0_no_IV1,7,1,30,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2545265534749823,533.6735869933857,284807.49745438684
M0_no_IV1,7,2,31,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08178366622587596,181.1716163758068,32823.1545802225
M0_no_IV1,7,3,32,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3129234016547964,880.0028262147783,774404.9741459973
M0_no_IV1,7,4,33,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07922260871839026,350.440245581759,122808.36572340352
M0_no_IV1,7,5,34,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1288786006710354,2502.900343128036,6264510.127630442
